salesanalysis,Design,Category_Code,VOCNO,GROSS_WT1,NETVALUECC1
1,DIAMOND EARRING,ER,53,1,4285.71
1,GOLD EARRING,ER,37,1,5333.33
1,DIAMOND BRACELET,BT,47,1,15952.38
1,DIAMOND EARRING,ER,30,1,2095.24
1,DIAMOND PENDANT,PN,45,1,1523.81
1,DIAMOND BROOCH,BRCH,30,1,2323.81
1,DIAMOND EARRING,ER,30,1,2952.38
1,GOLD BANGLE,BN,7,1,10000
1,DIAMOND RING,RN,4,1,25000
1,DIAMOND RING,RN,4,1,5500
1,DIAMOND RING,RN,4,1,72600
1,DIAMOND EARRING,ER,3,1,9655
1,DIAMOND NECKLACE,NK,4,1,9900
1,GOLD PENDANT,PN,6,1,5300
1,DIAMOND PENDANT,PN,5,1,800
1,,,5,0.5,4900
1,DIAMOND RING,RN,612,1,1948
1,DIAMOND RING,RN,612,1,1306
1,DIAMOND RING,RN,612,1,1900
1,DIAMOND BANGLE,BN,612,1,12113
1,DIAMOND BRACELET,BR,612,1,4275
1,DIAMOND RING,RN,612,1,2850
1,DIAMOND RING,RN,612,1,1781
1,DIAMOND RING,RN,612,1,3040
1,DIAMOND BANGLE,BN,612,1,11163
1,GOLD  BANGLE,BN,612,1,7933
1,DIAMOND BANGLE,BN,612,1,8218
1,DIAMOND BANGLE,BN,612,1,6698
1,DIAMOND BANGLE,BN,612,1,7125
1,GOLD BANGLE,BN,612,1,1948
1,DIAMOND BANGLE,BN,610,1,8360
1,DIAMOND BRACELET,BT,610,1,3468
1,DIAMOND PENDANT,PN,610,1,1473
1,DIAMOND RING,RN,610,1,2090
1,DIAMOND RING,RN,610,1,2565
1,DIAMOND PENDENT,PN,657,1,902.82
1,DIAMOND PENDANT,ER,657,1,2238.7
1,DIAMOND PENDANT,PN,657,1,1409.28
1,GOLD PENDANT,PN,657,1,1445.98
1,DIAMOND BANGLE,BN,657,1,2293.75
1,DIAMOND BANGLE,BN,657,1,1302.85
1,DIAMOND BANGLE,BN,657,1,1310.19
1,DIAMOND BANGLE,BN,657,1,1468
1,TANMANIYA PENDANT WITH DIAMOND,PN,657,1,1618.47
1,DIAMOND RING,RN,657,1,1189.08
1,DIAMOND RING,RN,657,1,2444.22
1,DIAMOND RING,RN,657,1,1075.31
1,DIAMOND RING,RN,657,1,2569
1,DIAMOND BANGLE,BN,657,1,2506.61
1,DIAMOND BANGLE,BN,657,1,6147.25
1,DIAMOND BANGLE,BN,657,1,8415.31
1,DIAMOND BANGLE,BN,657,1,5097.63
1,DIAMOND BANGLE,BN,657,1,4800.36
1,DIAMOND BANGLE,BN,657,1,6202.3
1,DIAMOND BANGLE,BN,657,1,2580.01
1,DIAMOND BANGLE,BN,657,1,1787.29
1,DIAMOND BANGLE,BN,657,1,1537.73
1,DIAMOND BANGLE,BN,657,1,6433.51
1,DIAMOND BANGLE,BN,657,1,6587.65
1,DIAMOND BANGLE,BN,657,1,6396.81
1,GOLD BRACELET,BT,657,1,1846.01
1,GOLD BRACELET,BR,657,1,2249.71
1,DIAMOND BRACELET,BR,657,1,4165.45
1,GOLD BRACELET,BR,657,1,2168.97
1,GOLD BRACELET,BR,657,1,3765.42
1,DIAMOND BRACELET,BT,657,1,763.36
1,DIAMOND BRACELET,BT,657,1,2994.72
1,GOLD BRACELET,BR,657,1,2477.25
1,GOLD BRACELET,BR,657,1,2561.66
1,GOLD  BRACELET,BR,657,1,3618.62
1,GOLD EARRING,ER,657,1,1174.4
1,GOLD EARRING,ER,657,1,1501.03
1,GOLD EARRING,ER,657,1,546.83
1,GOLD EARRING,ER,657,1,2484.59
1,GOLD EARRING,ER,657,1,565.18
1,GOLD EARRING,ER,657,1,902.82
1,GOLD EARRING,ER,657,1,2297.42
1,GOLD EARRING,ER,657,1,1526.72
1,GOLD EARRING,ER,657,1,1666.18
1,GOLD EARRING,ER,657,1,1592.78
1,GOLD EARRING,ER,657,1,1651.5
1,GOLD NECKLACE WITH WMOP,,657,1,5853.65
1,DIAMOND PENDANT,PN,657,1,2719.47
1,GOLD NECKLACE,NK,657,1,792.72
1,DIAMOND PENDANT,PN,657,1,1981.8
1,DIAMOND PENDANT,PN,657,1,3130.51
1,DIAMOND RING,RN,657,1,3607.61
1,Multi Tourmaline              ,,657,1,1915.74
1,GOLD RING,RN,657,1,1563.42
1,DIAMOND RING,RN,657,1,1746.92
1,DIAMOND RING BAN,RN,657,1,1713.89
1,DIAMOND BANGLE,BN,657,1,2044.19
1,DIAMOND BANGLE,BN,657,1,6517.92
1,DIAMOND RING,RN,657,1,1750.59
1,Multi Tourmaline              ,,657,1,1567.09
1,DIAMOND BANGLE,BN,657,1,1746.92
1,DIAMOND BANGLE,BN,63,1,47389.78
1,Multi Tourmaline              ,,63,1,379.4
1,Multi Tourmaline              ,,63,1,326.06
1,DIAMOND BRACELET,BT,65,1,2142.86
1,DIAMOND PENDANT,PN,65,1,2380.95
1,DIAMOND,NK,67,1,33114.29
1,DIAMOND RING,RN,68,1,7227.62
1,DIAMOND PENDANT,PN,68,1,2200
1,DIAMOND RING,RN,69,1,9047.62
1,DIAMOND BANGLE,BN,70,1,118238.1
1,DIAMOND CHOKER NECKLACE,NK,72,1,2714.29
1,DIAMOND EARRING,ER,73,1,44097.29
1,DIAMOND RING,RN,73,1,50000
1,DIAMOND BANGLE,BN,73,1,81617
1,Diamond Bangle,,75,1,8748.44
1,DIAMOND PENDANT,PN,76,1,5142.86
1,DIAMOND EARRING,ER,76,1,6571.43
1,DIAMOND,PN,77,1,5604.76
